"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","GPT Test Summary","","","unknown","","","","",""
"","4210","test_login_success[chromium]","tests.ui","Wed Oct 08 17:36:53 EDT 2025","passed","Wed Oct 08 17:36:57 EDT 2025","","test_login_ui","",""
"","1401","test_get_users","tests.api","Wed Oct 08 17:36:39 EDT 2025","passed","Wed Oct 08 17:36:40 EDT 2025","","test_users_api","",""
